From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-06-28,12.187916666666666,38.93083333333333,29.234166666666667,11.98375,41.21666666666667,19.82375,2.1904166666666667,15.802083333333334,0.05375,0.8620833333333334,,25.366249999999997,72.13208333333334,1.325,18.2625,90.9375,940.2912500000001,,0.37125,0.25
2016-06-29,14.70608695652174,31.591666666666665,30.451666666666668,9.57,40.0225,17.41,2.2104166666666667,16.46125,0.043333333333333335,0.7108333333333333,,24.721666666666668,69.68958333333333,1.6529166666666668,18.112916666666667,78.39375,941.0975,,0.30624999999999997,
2016-06-30,11.720833333333333,31.622083333333332,28.197916666666668,91.86041666666667,120.05833333333334,29.778,2.174166666666667,15.240833333333335,0.04583333333333334,0.775,,24.7175,71.94583333333334,1.5020833333333332,18.013333333333332,86.69208333333334,941.2695833333333,,0.31875000000000003,0.25
2016-07-01,15.50695652173913,35.708333333333336,25.072083333333335,138.32,163.39166666666668,31.769166666666667,2.2066666666666666,13.551666666666668,0.0525,0.8733333333333334,,25.634583333333335,71.51291666666667,1.42875,18.012916666666666,104.10875,940.1275,,0.3695833333333334,0.12
2016-07-02,11.612608695652172,26.13,25.75708333333333,28.302083333333332,54.05875,7.580416666666667,2.18,13.922083333333333,0.06875,1.0979166666666667,,24.798333333333332,78.145,1.0970833333333332,17.951249999999998,92.55874999999999,939.6475,,0.4870833333333333,0.2577777777777778
2016-07-03,9.9,17.4975,24.527916666666666,27.63875,52.16833333333333,7.410833333333334,2.2016666666666667,13.25875,0.049166666666666664,0.90125,,23.775833333333335,83.04916666666666,0.45875,17.47625,37.14625,940.6008333333334,,0.3658333333333333,0.4010526315789474
2016-07-04,10.32625,24.73875,26.89833333333333,28.918333333333333,55.81583333333333,7.560833333333334,2.18875,14.538333333333334,0.08166666666666667,1.3570833333333334,,24.6975,79.315,0.7841666666666667,17.3025,97.44041666666668,941.5995833333333,,0.8908333333333333,0.3125
2016-07-05,16.531666666666666,35.945,26.272499999999997,28.582916666666666,54.85333333333333,9.782916666666667,2.3474999999999997,14.202916666666667,0.0775,1.325,,24.490416666666665,77.20833333333333,1.0975,17.927083333333332,92.14291666666666,941.4870833333333,,0.8300000000000001,0.25
2016-07-06,31.007499999999997,47.326249999999995,26.650833333333335,28.786666666666665,55.435833333333335,7.2875000000000005,2.2291666666666665,14.406666666666666,0.04083333333333333,0.6175,,24.153333333333332,75.79083333333334,1.21,18.479583333333334,66.85708333333334,941.6225,,0.2775,
2016-07-07,31.726250000000004,52.1,42.12375,41.62166666666666,61.28652173913043,6.755416666666666,2.1575,19.94217391304348,0.04521739130434783,0.7541666666666668,,24.236666666666665,74.61416666666666,1.5233333333333334,18.94333333333333,64.62875,942.1066666666667,,0.33791666666666664,0.185
