From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
2017-06-25,35.14291666666667,102.91291666666666,20.763749999999998,12.946666666666665,,27.52625,5.44875,0.7041666666666666,14.602083333333333,,,34.3675,50.255833333333335,1.1729166666666666,161.95458333333332,321.17041666666665,
2017-06-26,36.83083333333334,104.97333333333334,20.59875,12.868333333333332,,27.479166666666668,2.9908333333333332,0.8275,18.111666666666668,,,34.27708333333333,56.035,1.7166666666666668,136.38208333333333,306.5425,
2017-06-27,41.085,92.23208333333334,20.962500000000002,12.828333333333333,,27.51125,3.56875,0.9770833333333333,16.209166666666665,,,32.1725,68.56083333333333,1.6333333333333335,122.8575,275.13666666666666,
2017-06-28,35.18473684210526,75.6504347826087,22.347826086956523,13.000869565217391,,27.69086956521739,2.961904761904762,0.7895652173913044,6.447391304347826,1.5433333333333332,2.405,27.0995652173913,90.22217391304348,1.586521739130435,123.75695652173913,143.49869565217392,
2017-06-29,38.49857142857143,70.14190476190477,23.40142857142857,13.112380952380953,,27.776666666666664,2.301904761904762,0.8123809523809523,5.3828571428571435,2.24,3.7725,24.454761904761902,98.74142857142859,2.0185714285714287,125.90714285714287,129.73619047619047,0.48666666666666664
2017-06-30,31.479583333333334,74.6125,13.93625,12.219583333333333,,16.21708333333333,3.1875,0.82875,17.412499999999998,1.9855555555555557,3.448888888888889,27.91416666666667,86.92708333333333,1.5004166666666665,107.39875,285.94625,0.3375
2017-07-01,46.561904761904756,72.14695652173914,42.66,23.620454545454546,,12.692727272727273,4.2075000000000005,0.8939130434782608,12.483478260869566,1.672857142857143,2.44375,30.49913043478261,77.06695652173913,0.9778260869565218,151.80652173913043,285.17434782608694,0.4425
2017-07-02,38.675384615384615,100.15347826086958,43.608695652173914,22.133478260869566,,11.475833333333334,2.967391304347826,0.4933333333333333,6.423913043478261,1.97,3.3475,31.926086956521736,73.3595652173913,1.2060869565217391,188.12,262.3413043478261,0.2933333333333333
2017-07-03,37.31875,86.72166666666668,35.91416666666667,22.450869565217392,,11.544166666666667,3.7312499999999997,0.3779166666666667,9.215833333333334,2.34,3.56,30.750416666666666,72.73958333333333,1.3833333333333335,161.29333333333332,313.27625,0.535
2017-07-04,43.20791666666667,99.30250000000001,40.02916666666667,12.64,,11.519166666666665,3.7066666666666666,0.36083333333333334,6.5425,,,32.029583333333335,68.49083333333333,1.5175,147.72041666666667,321.1333333333333,
2017-07-05,46.73260869565217,108.79826086956523,33.56652173913044,12.169166666666667,,11.488260869565218,2.6849999999999996,0.39357142857142857,12.793478260869565,,3.12,31.20782608695652,65.11086956521739,1.4339130434782608,145.17521739130436,308.86391304347825,1.45
2017-07-06,49.087391304347825,72.85043478260869,54.041739130434784,6.96375,,11.342173913043478,3.7226086956521742,0.3247826086956522,5.309565217391304,,,28.75304347826087,71.38347826086957,1.8143478260869563,138.96,263.13739130434783,
2017-07-07,49.03130434782609,89.21,51.19826086956522,8.610000000000001,,11.351304347826087,4.132173913043479,0.3878260869565217,6.660434782608696,2.33,2.9433333333333334,30.089565217391307,71.97608695652174,1.2478260869565216,139.52217391304347,315.5373913043478,
2017-07-08,48.62133333333334,117.80866666666667,50.44666666666667,12.616,,10.809333333333335,2.7278571428571428,0.3626666666666667,6.786666666666666,,,32.321333333333335,65.946,0.8186666666666667,177.494,328.57733333333334,
2017-07-09,,,,,,,,,,,,,,,,,
2017-07-10,50.281333333333336,89.41733333333333,27.551333333333332,10.997,,11.243333333333334,3.8826666666666667,0.4406666666666667,12.762,,,33.55266666666667,62.593333333333334,1.3753333333333333,136.10933333333335,372.498,
2017-07-11,50.24875,95.89833333333333,27.387083333333333,11.812727272727273,,11.28625,3.9745833333333334,0.355,8.692083333333333,,,30.174166666666665,80.18375,2.1941666666666664,121.65333333333332,278.4316666666667,
2017-07-12,48.58708333333333,90.78333333333335,35.55166666666667,9.416363636363636,,11.157499999999999,3.500833333333333,0.43041666666666667,6.222916666666666,,,26.545416666666668,94.21375,1.9883333333333333,122.38791666666667,253.94958333333332,
2017-07-13,46.66916666666666,98.78125,31.455833333333334,10.795384615384616,,11.3675,3.955833333333333,0.5404166666666667,7.84,,,29.177083333333332,81.50583333333334,1.3950000000000002,124.85625,258.34708333333333,
2017-07-14,51.91,96.16958333333334,26.592083333333335,31.779999999999998,,11.590833333333334,4.257083333333333,0.43041666666666667,6.56,1.8399999999999999,2.54,32.1075,69.68625,1.0433333333333332,217.43541666666667,319.33250000000004,2.23
2017-07-15,51.90208333333334,98.37208333333332,20.429166666666667,28.641666666666666,,12.191250000000002,4.27625,0.42583333333333334,9.94125,2.356666666666667,3.7675,32.199999999999996,73.36916666666667,1.4470833333333333,145.75666666666666,297.98791666666665,0.5549999999999999
2017-07-16,50.69173913043478,97.39782608695653,23.883333333333336,24.953333333333333,,12.677916666666667,3.327391304347826,0.35347826086956524,6.806521739130434,2.3233333333333333,3.6,31.37,76.2804347826087,1.5217391304347827,141.70217391304348,247.74521739130435,0.4433333333333333
2017-07-17,49.48208333333333,101.20041666666667,22.259583333333335,24.61916666666667,,11.600833333333334,3.473333333333333,0.42291666666666666,12.17,,,30.9225,78.99958333333333,1.6545833333333333,120.74541666666666,245.82666666666668,
2017-07-18,50.925000000000004,95.34375,28.906666666666666,14.335238095238097,,11.506666666666668,6.275416666666666,0.5,6.055,1.4183333333333332,0.6716666666666667,27.922916666666666,94.81791666666668,1.5520833333333333,148.71458333333334,202.895,0.1
2017-07-19,51.85125,105.56958333333334,32.277499999999996,22.24375,,11.634166666666667,3.450833333333333,0.5558333333333333,6.728333333333333,2.2199999999999998,0.9883333333333333,32.093333333333334,71.28791666666667,0.9033333333333333,212.41416666666666,336.98333333333335,0.3175
2017-07-20,44.4375,112.31041666666665,19.495833333333334,18.154166666666665,,11.67125,3.6158333333333332,0.37125,6.971666666666667,2.0973333333333333,0.9986666666666667,30.58875,81.24,1.5983333333333334,148.32416666666668,225.76416666666668,0.5893333333333334
2017-07-21,47.73041666666666,97.64916666666666,22.37625,16.797272727272727,,12.417083333333332,4.959583333333334,0.4379166666666667,7.1620833333333325,2.5905882352941174,1.018235294117647,31.205416666666665,75.42916666666666,1.43,115.92708333333333,309.7708333333333,0.4958333333333333
